artist	song	lyrics
Eminem	Like Toy Soldiers	Step by step, heart to heart, left right left We all fall down... [Chorus] Step by step, heart to heart, left right left We all fall down like toy soldiers Bit by bit, torn apart, we never win But the battle wages on for toy soldiers [Verse 1] I'm supposed to be the soldier who never blows his composure Even though I hold the weight of the whole world on my shoulders I ain't never supposed to show it, my crew ain't supposed to know it Even if it means goin' toe to toe with a Benzino it don't matter I'd never drag them in battles that I can handle unless I absolutely have to I'm supposed to set an example I need to be the leader, my crew looks for me to guide 'em If some shit ever does pop off, I'm supposed to be beside 'em That Ja shit I tried to squash it, it was too late to stop it There's a certain line you just don't cross and he crossed it I heard him say Hailie's name on a song and I just lost it It was crazy, this shit went way beyond some Jay-z and Nas shit And even though the battle was won, I feel like we lost it I spent too much energy on it, honestly I'm exhausted And I'm so caught in it I almost feel I'm the one who caused it This ain't what I'm in hip-hop for, it's not why I got in it That was never my object for someone to get killed Why would I wanna destroy something I help build It wasn't my intentions, my intentions were good I went through my whole career without ever mentionin' And that was just out of respect for not runnin' my mouth And talkin' about something that I knew nothing about Plus Dre told me stay out, this just wasn't my beef So I did, I just fell back, watched and gritted my teeth While he's all over t.v. down talkin' a man who literally saved my life Like fuck it i understand this is business And this shit just isn't none of my business But still knowin' this shit could pop off at any minute cause [Chorus] [Verse 2] There used to be a time when you could just say a rhyme And wouldn't have to worry about one of your people dyin' But now it's elevated cause once you put someone's kids in it The shit gets escalated, it ain't just words no more is it? It's a different ball game, callin' names and you ain't just rappin' We actually tried to stop the 50 and Ja beef from happenin' Me and Dre had sat with him, kicked it and had a chat with him And asked him not to start it he wasn't gonna go after him Until Ja started yappin' in magazines how we stabbed him Fuck it 50 smash 'em, mash 'em and let him have it Meanwhile my attention is pullin' in other directions Some receptionist at The Source who answers phones at his desk Has an erection for me and thinks that I'll be his resurrection Tries to blow the dust off his mic and make a new record But now he's fucked the game up cause one of the ways I came up Was through that publication the same one that made me famous Now the owner of it has got a grudge against me for nothin' Well fuck it, that motherfucker can get it too, fuck him then But I'm so busy being pissed off I don't stop to think That we just inherited 50's beef with Murder Inc. And he's inherited mine which is fine ain't like either of us mind We still have soldiers that's on the front line That's willing to die for us as soon as we give the orders Never to extort us, strictly to show they support us We'll maybe shout 'em out in a rap or up in a chorus To show them we love 'em back and let 'em know how important it is To have Runyan Avenue, soldiers up in our corners Their loyalty to us is worth more than any award is But I ain't tryna have none of my people hurt and murdered It ain't worth it, I can't think of a perfecter way to word it Then to just say that I love ya'll too much to see the verdict I'll walk away from it all before I let it go any further But don't get it twisted, it's not a plea that I'm coppin' I'm just willin' to be the bigger man If ya'll can quit poppin' off at the jaws, well then I can Cause frankly I'm sick of talkin' I'm not gonna let someone else's coffin rest on my conscience cause 
Eminem	When I'm Gone	Yeah... It's my life... My own words I guess... Have you ever loved someone so much, you'd give an arm for? Not the expression, no, literally give an arm for? When they know they're your heart And you know you were their armour And you will destroy anyone who would try to harm her But what happens when karma, turns right around and bites you? And everything you stand for, turns on you despite you? What happens when you become the main source of her pain? "Daddy look what I made", Dad's gotta go catch a plane "Daddy where's Mommy? I can't find Mommy where is she?" I don't know go play Hailie, baby, your Daddy's busy Daddy's writing a song, this song ain't goin' write itself I'll give you one underdog and you gotta swing by yourself Then turn right around in that song and tell her you love her And put hands on her mother, who's a spitting image of her That's Slim Shady, yeah baby, Slim Shady's crazy Shady made me, but tonight Shady's rocka-by-baby... And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back... I keep having this dream, I'm pushin' Hailie on the swing She keeps screaming, she don't want me to sing "You're making Mommy cry, why? Why is Mommy crying?" Baby, Daddy ain't leaving no more, "Daddy you're lying" "You always say that, you always say this is the last time But you ain't leaving no more, Daddy you're mine" She's piling boxes in front of the door trying to block it "Daddy please, Daddy don't leave, Daddy - no stop it!" Goes in her pocket, pulls out a tiny necklace locket It's got a picture, "This'll keep you safe Daddy, take it witcha" I look up, it's just me standing in the mirror These fucking walls must be talking, cause man I can hear 'em They're saying "You've got one more chance to do right" - and it's tonight Now go out there and show 'em that you love 'em before it's too late And just as I go to walk out of my bedroom door It turns to a stage, they're gone, and this spotlight is on And I'm singing... And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back... Sixty thousand people, all jumping out their seat The curtain closes, they're throwing roses at my feet I take a bow and thank you all for coming out They're screaming so loud, I take one last look at the crowd I glance down, I don't believe what I'm seeing "Daddy it's me, help Mommy, her wrists are bleeding" But baby we're in Sweden, how did you get to Sweden? "I followed you Daddy, you told me that you weren't leavin' "You lied to me Dad, and now you make Mommy sad "And I bought you this coin, it says 'Number One Dad' "That's all I wanted, I just want to give you this coin" "I get the point - fine, me and Mommy are going" But baby wait, "it's too late Dad, you made your choice "Now go up there and show 'em that you love 'em more than us" That's what they want, they want you Marshall They keep... screamin' your name It's no wonder you can't go to sleep, just take another pill Yeah, I bet ya' you will. You rap about it, yeah, word, k-keep it real I hear applause, all this time I couldn't see How could it be, that the curtain is closing on me I turn around, find a gun on the ground, cock it Put it to my brain, scream "Die Shady!" and pop it The sky darkens, my life flashes, the plane that I was Supposed to be on crashes and burns to ashes That's when I wake up, alarm clock's ringin', there's birds singin' It's springing and Hailie's outside swinging, I walk right up to Kim and kiss her Tell her I miss her, Hailie just smiles and winks at her little sister Almost as if to say And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back And when I'm gone, just carry on, don't mourn Rejoice every time you hear the sound of my voice Just know that I'm looking down on you smiling And I didn't feel a thing, So baby don't feel no pain Just smile back... 
Eminem	Mockingbird	Yeah I know sometimes things may not always make sense to you right now But hey, what daddy always tell you? Straighten up little soldier Stiffen up that upper lip What you crying about? You got me. Hailie, I know you miss your mom, and I know you miss your dad When I'm gone but I'm trying to give you the life that I never had I can see you're sad, even when you smile, even when you laugh I can see it in your eyes, deep inside you want to cry 'Cause you're scared, I ain't there? Daddy's with you in your prayers No more crying, wipe them tears Daddy's here, no more nightmares We gon' pull together through it, we gon' do it Lainie Uncle's crazy, ain't he? Yeah, but he loves you girl and you better know it We're all we got in this world When it spins, when it swirls When it whirls, when it twirls Two little beautiful girls Lookin' puzzled, in a daze I know it's confusing you Daddy's always on the move, mamma's always on the news I try to keep you sheltered from it but somehow it seems The harder that I try to do that, the more it backfires on me All the things growing up as daddy, that he had to see Daddy don't want you to see but you see just as much as he did We did not plan it to be this way, your mother and me But things have got so bad between us I don't see us ever being together ever again Like we used to be when we was teenagers But then of course everything always happens for a reason I guess it was never meant to be But it's just something we have no control over and that's what destiny is But no more worries, rest your head and go to sleep Maybe one day we'll wake up and this will all just be a dream [Chorus:] Now hush little baby, don't you cry Everything's gonna be alright Stiffen that upper lip up, little lady, I told ya Daddy's here to hold ya through the night I know mommy's not here right now and we don't know why We feel how we feel inside It may seem a little crazy, pretty baby But I promise mama's gon' be alright (Ha) It's funny I remember back one year when daddy had no money Mommy wrapped the Christmas presents up And stuck 'em under the tree and said some of 'em were from me 'Cause daddy couldn't buy 'em I'll never forget that Christmas I sat up the whole night crying 'Cause daddy felt like a bum, see daddy had a job But his job was to keep the food on the table for you and mom And at the time every house that we lived in Either kept getting broken into and robbed Or shot up on the block and your mom was saving money for you in a jar Tryna start a piggy bank for you so you could go to college Almost had a thousand dollars 'til someone broke in and stole it And I know it hurt so bad it broke your mamma's heart And it seemed like everything was just startin' to fall apart Mom and dad was arguin' a lot so momma moved back On the Chalmers in the flat one bedroom apartment And dad moved back to the other side of 8 Mile on Novara And that's when daddy went to California with his CD and met Dr. Dre And flew you and momma out to see me But daddy had to work, you and momma had to leave me Then you started seeing daddy on the T.V. and momma didn't like it And you and Lainnie were too young to understand it Papa was a rollin' stone, momma developed a habit And it all happened too fast for either one of us to grab it I'm just sorry you were there and had to witness it first hand 'Cause all I ever wanted to do was just make you proud Now I'm sitting in this empty house, just reminiscing Lookin' at your baby pictures, it just trips me out To see how much you both have grown, it's almost like you're sisters now Wow, I guess you pretty much are and daddy's still here Lainnie I'm talkin' to you too, daddy's still here I like the sound of that, yeah It's got a ring to it don't it? Shh, mama's only gone for the moment [Chorus] And if you ask me to Daddy's gonna buy you a mockingbird I'mma give you the world I'mma buy a diamond ring for you I'mma sing for you I'll do anything for you to see you smile And if that mockingbird don't sing and that ring don't shine I'mma break that birdie's neck I'll go back to the jeweler who sold it to ya And make him eat every carat don't fuck with dad (ha ha) 
Eminem	Without Me	"Obie Trice/Real Name No Gimmicks" [2x] two trailer park girls go 'round the outside, 'round the outside, 'round the outside Guess who's back, back again Shady's back, tell a friend Guess who's back, guess who's back, guess who's back, guess who's back guess who's back Guess who's back... [Verse 1] I've created a monster, 'cause nobody wants to see Marshall no more they want Shady I'm chopped liver well if you want Shady, this is what I'll give ya a little bit of weed mixed with some hard liquor some vodka that'll jumpstart my heart quicker than a shock when I get shocked at the hospital by the doctor when I'm not cooperating when I'm rocking the table while he's operating (hey!) you waited this long now stop debating 'cause I'm back, I'm on the rag and ovulating I know that you got a job Ms. Cheney but your husband's heart problem's complicating So the FCC won't let me be or let me be me so let me see they tried to shut me down on MTV but it feels so empty without me So come on dip, bum on your lips fuck that, cum on your lips and some on your tits and get ready 'cause this shit's about to get heavy I just settled all my lawsuits FUCK YOU, DEBBIE! [Chorus 2x:] Now this looks like a job for me so everybody just follow me 'Cause we need a little controversy, 'Cause it feels so empty without me [Verse 2] Little hellions kids feeling rebellious embarrassed, their parents still listen to Elvis they start feeling like prisoners, helpless, 'til someone comes along on a mission and yells "bitch" A visionary, vision is scary, could start a revolution, polluting the air waves a rebel so just let me revel and bask, in the fact that I got everyone kissing my ass and it's a disaster such a catastrophe for you to see so damn much of my ass you ask for me? Well I'm back [batman sound] fix your bent antennae tune it in and then I'm gonna enter in and up under your skin like a splinter The center of attention back for the winter I'm interesting, the best thing since wrestling Infesting in your kids ears and nesting Testing "Attention Please" feel the tension soon as someone mentions me here's my 10 cents my 2 cents is free A nuisance, who sent, you sent for me? [Chorus 2x] [Verse 3] A tisk-it a task-it, I'll go tit for tat with anybody who's talking this shit, that shit. Chris Kirkpatrick you can get your ass kicked worse than them little Limp Bizkit bastards, and Moby you can get stomped by Obie, you 36 year old bald headed fag blow me You don't know me, you're too old let go it's over, nobody listens to techno Now let's go, just give me the signal I'll be there with a whole list full of new insults I've been dope, suspenseful with a pencil ever since Prince turned himself into a symbol But sometimes the shit just seems, everybody only wants to discuss me So this must mean I'm disgusting, but it's just me I'm just obscene Though I'm not the first king of controversy I am the worst thing since Elvis Presley, to do Black Music so selfishly and use it to get myself wealthy (Hey) there's a concept that works 20 million other white rappers emerge but no matter how many fish in the sea it'd be so empty without me [Chorus 2x] (Hum dei dei la la Hum dei dei la la... la la la) [2x] "Kids" 
Bob Dylan	Blowin in the Wind	How many roads must a man walk down Before you call him a man? How many seas must a white dove sail Before she sleeps in the sand? How many times must the cannon balls fly Before they're forever banned? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind. How many years can a mountain exist Before it's washed to the sea? How many years can some people exist Before they're allowed to be free? How many times can a man turn his head And pretend that he just doesn't see? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind. How many times must a man look up Before he can really see the sky? How many ears must one person have Before he can hear people cry? How many deaths will it take 'til he knows That too many people have died? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind. 
Bob Dylan	Mr Tambourin Man	Hey ! Mr Tambourine Man, play a song for me I'm not sleepy and there is no place I'm going to Hey ! Mr Tambourine Man, play a song for me In the jingle jangle morning I'll come followin' you. Though I know that evenin's empire has returned into sand Vanished from my hand Left me blindly here to stand but still not sleeping My weariness amazes me, I'm branded on my feet I have no one to meet And the ancient empty street's too dead for dreaming. Hey ! Mr Tambourine Man, play a song for me I'm not sleepy and there is no place I'm going to Hey ! Mr Tambourine Man, play a song for me In the jingle jangle morning I'll come followin' you. Take me on a trip upon your magic swirlin' ship My senses have been stripped, my hands can't feel to grip My toes too numb to step, wait only for my boot heels To be wanderin' I'm ready to go anywhere, I'm ready for to fade Into my own parade, cast your dancing spell my way I promise to go under it. Hey ! Mr Tambourine Man, play a song for me I'm not sleepy and there is no place I'm going to Hey ! Mr Tambourine Man, play a song for me In the jingle jangle morning I'll come followin' you. Though you might hear laughin', spinnin' swingin' madly across the sun It's not aimed at anyone, it's just escapin' on the run And but for the sky there are no fences facin' And if you hear vague traces of skippin' reels of rhyme To your tambourine in time, it's just a ragged clown behind I wouldn't pay it any mind, it's just a shadow you're Seein' that he's chasing. Hey ! Mr Tambourine Man, play a song for me I'm not sleepy and there is no place I'm going to Hey ! Mr Tambourine Man, play a song for me In the jingle jangle morning I'll come followin' you. Then take me disappearin' through the smoke rings of my mind Down the foggy ruins of time, far past the frozen leaves The haunted, frightened trees, out to the windy beach Far from the twisted reach of crazy sorrow Yes, to dance beneath the diamond sky with one hand waving free Silhouetted by the sea, circled by the circus sands With all memory and fate driven deep beneath the waves Let me forget about today until tomorrow. Hey ! Mr Tambourine Man, play a song for me I'm not sleepy and there is no place I'm going to Hey ! Mr Tambourine Man, play a song for me In the jingle jangle morning I'll come followin' you. 
Bob Dylan	Its All Over Now Baby Blue	You must leave now, take what you need, you think will last But whatever you wish to keep, you better grab it fast Yonder stands your orphan with his gun Crying like a fire in the sun Look out the saints are comin' through And it's all over now, Baby Blue. The highway is for gamblers, better use your sense Take what you have gathered from coincidence The empty handed painter from your streets Is drawing crazy patterns on your sheets This sky, too, is folding under you And it's all over now, Baby Blue. All your seasick sailors, they are rowing home Your empty handed armies, are all going home Your lover who just walked out the door Has taken all his blankets from the floor The carpet, too, is moving under you And it's all over now, Baby Blue. Leave your stepping stones behind, something calls for you Forget the dead you've left, they will not follow you The vagabond who's rapping at your door Is standing in the clothes that you once wore Strike another match, go start a new And it's all over now, Baby Blue. 
Bob Dylan	The Times They are A-changin	Come gather 'round people Wherever you roam And admit that the waters Around you have grown And accept it that soon You'll be drenched to the bone If your time to you Is worth savin' Then you better start swimmin' Or you'll sink like a stone For the times they are a-changin'. Come writers and critics Who prophesize with your pen And keep your eyes wide The chance won't come again And don't speak too soon For the wheel's still in spin And there's no tellin' who That it's namin' For the loser now Will be later to win For the times they are a-changin'. Come senators, congressmen Please heed the call Don't stand in the doorway Don't block up the hall For he that gets hurt Will be he who has stalled There's a battle outside And it is ragin' It'll soon shake your windows And rattle your walls For the times they are a-changin'. Come mothers and fathers Throughout the land And don't criticize What you can't understand Your sons and your daughters Are beyond your command Your old road is Rapidly agin' Please get out of the new one If you can't lend your hand For the times they are a-changin'. The line it is drawn The curse it is cast The slow one now Will later be fast As the present now Will later be past The order is Rapidly fadin' And the first one now Will later be last For the times they are a-changin'.' 
Bob Dylan	Hurricane	Pistols shots ring out in the barroom night Enter Patty Valentine from the upper hall She sees the bartender in a pool of blood Cries out "My God they killed them all" Here comes the story of the Hurricane The man the authorities came to blame For something that he never done Put him in a prison cell but one time he could-a been The champion of the world. Three bodies lying there does Patty see And another man named Bello moving around mysteriously "I didn't do it" he says and he throws up his hands "I was only robbing the register I hope you understand I saw them leaving" he says and he stops "One of us had better call up the cops" And so Patty calls the cops And they arrive on the scene with their red lights flashing In the hot New Jersey night. Meanwhile far away in another part of town Rubin Carter and a couple of friends are driving around Number one contender for the middleweight crown Had no idea what kinda shit was about to go down When a cop pulled him over to the side of the road Just like the time before and the time before that In Patterson that's just the way things go If you're black you might as well not shown up on the street 'Less you wanna draw the heat. Alfred Bello had a partner and he had a rap for the corps Him and Arthur Dexter Bradley were just out prowling around He said "I saw two men running out they looked like middleweights They jumped into a white car with out-of-state plates" And Miss Patty Valentine just nodded her head Cop said "Wait a minute boys this one's not dead" So they took him to the infirmary And though this man could hardly see They told him that he could identify the guilty men. Four in the morning and they haul Rubin in Take him to the hospital and they bring him upstairs The wounded man looks up through his one dying eye Says "Wha'd you bring him in here for ? He ain't the guy !" Yes here comes the story of the Hurricane The man the authorities came to blame For something that he never done Put in a prison cell but one time he could-a been The champion of the world. Four months later the ghettos are in flame Rubin's in South America fighting for his name While Arthur Dexter Bradley's still in the robbery game And the cops are putting the screws to him looking for somebody to blame "Remember that murder that happened in a bar ?" "Remember you said you saw the getaway car?" "You think you'd like to play ball with the law ?" "Think it might-a been that fighter you saw running that night ?" "Don't forget that you are white". Arthur Dexter Bradley said "I'm really not sure" Cops said "A boy like you could use a break We got you for the motel job and we're talking to your friend Bello Now you don't wanta have to go back to jail be a nice fellow You'll be doing society a favor That sonofabitch is brave and getting braver We want to put his ass in stir We want to pin this triple murder on him He ain't no Gentleman Jim". Rubin could take a man out with just one punch But he never did like to talk about it all that much It's my work he'd say and I do it for pay And when it's over I'd just as soon go on my way Up to some paradise Where the trout streams flow and the air is nice And ride a horse along a trail But then they took him to the jailhouse Where they try to turn a man into a mouse. All of Rubin's cards were marked in advance The trial was a pig-circus he never had a chance The judge made Rubin's witnesses drunkards from the slums To the white folks who watched he was a revolutionary bum And to the black folks he was just a crazy nigger No one doubted that he pulled the trigger And though they could not produce the gun The DA said he was the one who did the deed And the all-white jury agreed. Rubin Carter was falsely tried The crime was murder 'one' guess who testified Bello and Bradley and they both baldly lied And the newspapers they all went along for the ride How can the life of such a man Be in the palm of some fool's hand ? To see him obviously framed Couldn't help but make me feel ashamed to live in a land Where justice is a game. Now all the criminals in their coats and their ties Are free to drink martinis and watch the sun rise While Rubin sits like Buddha in a ten-foot cell An innocent man in a living hell That's the story of the Hurricane But it won't be over till they clear his name And give him back the time he's done Put him in a prison cell but one time he could-a been The champion of the world. 
Bob Dylan	It aint me babe	Go 'way from my window Leave at your own chosen speed I'm not the one you want, babe I'm not the one you need You say you're lookin' for someone Who's never weak but always strong To protect you an' defend you Whether you are right or wrong Someone to open each and every door But it ain't me, babe No, no, no, it ain't me, babe It ain't me you're lookin' for, babe. Go lightly from the ledge, babe Go lightly on the ground I'm not the one you want, babe I will only let you down You say you're lookin' for someone Who will promise never to part Someone to close his eyes for you Someone to close his heart Someone who will die for you an' more But it ain't me, babe No, no, no, it ain't me babe It ain't me you're lookin' for, babe. Go melt back in the night Everything inside is made of stone There's nothing in here moving An' anyway I'm not alone You say you're looking for someone Who'll pick you up each time you fall To gather flowers constantly An' to come each time you call A lover for your life an' nothing more But it ain't me, babe No, no, no, it ain't me, babe It ain't me you're lookin' for, babe 
Bob Dylan	Maggies Farm	I ain't gonna work on Maggie's farm no more No, I ain't gonna work on Maggie's farm no more Well, I wake up in the morning Fold my hands and pray for rain I got a head full of ideas That are drivin' me insane It's a shame the way she makes me scrub the floor I ain't gonna work on Maggie's farm no more. I ain't gonna work for Maggie's brother no more No, I ain't gonna work for Maggie's brother no more Well, he hands you a nickel He hands you a dime He asks you with a grin If you're havin' a good time Then he fines you every time you slam the door I ain't gonna work for Maggie's brother no more. I ain't gonna work for Maggie's pa no more No, I ain't gonna work for Maggie's pa no more Well, he puts his cigar Out in your face just for kicks His bedroom window It is made out of bricks The National Guard stands around his door Ah, I ain't gonna work for Maggie's pa no more. I ain't gonna work for Maggie's ma no more No, I ain't gonna work for Maggie's ma no more Well, she talks to all the servants About man and God and law Everybody says She's the brains behind pa She's sixty-eight, but she says she's fifty-four I ain't gonna work for Maggie's ma no more. I ain't gonna work on Maggie's farm no more I ain't gonna work on Maggie's farm no more Well, I try my best To be just like I am But everybody wants you To be just like them They say sing while you slave and I just get bored I ain't gonna work on Maggie's farm no more. 
Bob Dylan	A Hard Rains A-gonna Fall	Oh, where have you been, my blue-eyed son? And where have you been my darling young one? I've stumbled on the side of twelve misty mountains I've walked and I've crawled on six crooked highways I've stepped in the middle of seven sad forests I've been out in front of a dozen dead oceans I've been ten thousand miles in the mouth of a graveyard And it's a hard, it's a hard, it's a hard, and it's a hard It's a hard rain's a-gonna fall. Oh, what did you see, my blue eyed son? And what did you see, my darling young one? I saw a newborn baby with wild wolves all around it I saw a highway of diamonds with nobody on it I saw a black branch with blood that kept drippin' I saw a room full of men with their hammers a-bleedin' I saw a white ladder all covered with water I saw ten thousand talkers whose tongues were all broken I saw guns and sharp swords in the hands of young children And it's a hard, it's a hard, it's a hard, and it's a hard It's a hard rain's a-gonna fall. And what did you hear, my blue-eyed son? And what did you hear, my darling young one? I heard the sound of a thunder that roared out a warnin' I heard the roar of a wave that could drown the whole world I heard one hundred drummers whose hands were a-blazin' I heard ten thousand whisperin' and nobody listenin' I heard one person starve, I heard many people laughin' Heard the song of a poet who died in the gutter Heard the sound of a clown who cried in the alley And it's a hard, it's a hard, it's a hard, it's a hard And it's a hard rain's a-gonna fall. Oh, what did you meet my blue-eyed son ? Who did you meet, my darling young one? I met a young child beside a dead pony I met a white man who walked a black dog I met a young woman whose body was burning I met a young girl, she gave me a rainbow I met one man who was wounded in love I met another man who was wounded in hatred And it's a hard, it's a hard, it's a hard, it's a hard And it's a hard rain's a-gonna fall. And what'll you do now, my blue-eyed son? And what'll you do now my darling young one? I'm a-goin' back out 'fore the rain starts a-fallin' I'll walk to the depths of the deepest black forest Where the people are a many and their hands are all empty Where the pellets of poison are flooding their waters Where the home in the valley meets the damp dirty prison And the executioner's face is always well hidden Where hunger is ugly, where souls are forgotten Where black is the color, where none is the number And I'll tell and speak it and think it and breathe it And reflect from the mountain so all souls can see it And I'll stand on the ocean until I start sinkin' But I'll know my song well before I start singing And it's a hard, it's a hard, it's a hard, and it's a hard It's a hard rain's a-gonna fall. 
